Nombres de jugadores;Numero de cedula;Camiseta;Estatura;Edad;Lugar de juego;Goles Primera temporada;Goles Segunda temporata;Total de Goles
 Arturo Vidal;1102365422;1;1.8;24;Portero;1;1;1
 Guillem Jaime;1102365478;5;1.75;26;defensa;0;2;2
 Jean-Clair Todibo;1123654785;6;1.8;24;defensa;0;0;0
 Jeison Murillo;1102365412;14;1.79;25;defensa;0;0;0
 Jordi Alba;1102365456;52;1.69;25;Medio centro;2;0;2
 Juan Miranda;1102456321;8;1.74;25;Medio centro;4;4;8
 Luis Suárez;1104563214;3;1.86;24;Medio centro;0;2;2
 Oriol Busquets;1102365478;9;1.85;29;Medio centro;0;4;4
 Riqui Puig;1103256478;7;1.86;27;Medio centro;0;2;2
Carles Aleñá;1102365478;18;1.74;24;Medio centro;5;0;5
Clément Lenglet;1123654215;22;1.8;24;defensa;2;0;2
Coutinho;1102364789;21;1.7;23;defensa;4;5;9
Jasper Cillessen;1108456325;23;1.67;26;defensa;2;0;2
Jorge Cuenca;1102365456;30;1.86;25;delantero;9;0;9
Kevin-Prince Boateng;1154215478;25;1.64;25;delantero;8;6;14
Lionel Messi;1102365456;10;1.9;27;delantero;15;9;24
Moussa Wagué;1105478545;4;1.85;25;delantero;4;4;8
Nélson Semedo;1102548754;16;1.75;25;delantero;6;0;6
Rafinha;1102365456;26;1.8;24;delantero;7;0;7
Thomas Vermaelen;1145698745;29;1.8;28;delantero;2;0;2
